                                                                                                                                                                
Epoch 1 | Batch  3315 | Total:     1.4886 | Pred:  0.8752 | Var:  0.6630 | Cov:  0.4151
Epoch 1 | Batch  3380 | Total:     1.5060 | Pred:  0.8889 | Var:  0.6642 | Cov:  0.4286
Epoch 1 | Batch  3445 | Total:     1.5125 | Pred:  0.9041 | Var:  0.6636 | Cov:  0.3877
Epoch 1 | Batch  3510 | Total:     1.5229 | Pred:  0.9142 | Var:  0.6653 | Cov:  0.3823
Epoch 1 | Batch  3575 | Total:     1.5483 | Pred:  0.9267 | Var:  0.6657 | Cov:  0.4450
Epoch 1 | Batch  3640 | Total:     1.5183 | Pred:  0.9047 | Var:  0.6647 | Cov:  0.4094
Epoch 1 | Batch  3705 | Total:     1.5007 | Pred:  0.8995 | Var:  0.6623 | Cov:  0.3564
Epoch 1 | Batch  3770 | Total:     1.5169 | Pred:  0.9015 | Var:  0.6649 | Cov:  0.4173
Epoch 1 | Batch  3835 | Total:     1.5306 | Pred:  0.9199 | Var:  0.6638 | Cov:  0.3986
Epoch 1 | Batch  3900 | Total:     1.4999 | Pred:  0.8995 | Var:  0.6608 | Cov:  0.3587
Epoch 1 | Batch  3965 | Total:     1.5260 | Pred:  0.9076 | Var:  0.6676 | Cov:  0.4212
Epoch 1 | Batch  4030 | Total:     1.5118 | Pred:  0.9047 | Var:  0.6631 | Cov:  0.3833
Epoch 1 | Batch  4095 | Total:     1.5528 | Pred:  0.9401 | Var:  0.6634 | Cov:  0.4102
Epoch 1 | Batch  4160 | Total:     1.5243 | Pred:  0.9220 | Var:  0.6611 | Cov:  0.3670
Epoch 1 | Batch  4225 | Total:     1.5532 | Pred:  0.9329 | Var:  0.6660 | Cov:  0.4372
Epoch 1 | Batch  4290 | Total:     1.5087 | Pred:  0.9016 | Var:  0.6632 | Cov:  0.3825
Epoch 1 | Batch  4355 | Total:     1.4977 | Pred:  0.8966 | Var:  0.6616 | Cov:  0.3591
Epoch 1 | Batch  4420 | Total:     1.5100 | Pred:  0.9037 | Var:  0.6629 | Cov:  0.3801
Epoch 1 | Batch  4485 | Total:     1.4883 | Pred:  0.8855 | Var:  0.6611 | Cov:  0.3694
Epoch 1 | Batch  4550 | Total:     1.5130 | Pred:  0.8978 | Var:  0.6665 | Cov:  0.4100

Epoch 1 Summary:
Average Train Loss: 1.5253
Validation Loss: 1.4216
Learning Rate: 0.000000
